City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,3.76,91,100,14.74,TF,1702017213
1,port elizabeth,-33.918,25.5701,21.16,73,20,13.38,ZA,1702017214
2,horta,38.5333,-28.6333,19.45,93,100,10.28,PT,1702017214
3,fort bragg,35.139,-79.006,4.9,77,0,0.0,US,1702017215
4,adamstown,-25.066,-130.1015,22.61,80,100,3.89,PN,1702017216
5,west island,-12.1568,96.8225,28.99,74,40,6.69,CC,1702017216
6,nova sintra,14.8667,-24.7167,21.91,70,0,4.62,CV,1702017217
7,puerto natales,-51.7236,-72.4875,6.24,94,100,1.2,CL,1702017114
8,huedin,46.8667,23.05,0.45,86,47,0.32,RO,1702017218
9,waitangi,-43.9535,-176.5597,12.68,74,5,0.45,NZ,1702017218
10,puerto ayora,-0.7393,-90.3518,24.19,97,55,2.24,EC,1702017219
11,naze,28.3667,129.4833,19.51,60,3,2.76,JP,1702017219
12,ormara,25.2088,64.6357,24.18,45,0,3.61,PK,1702017220
13,cascais,38.6979,-9.4215,15.28,94,99,11.18,PT,1702017220
14,greymouth,-42.4667,171.2,14.44,74,40,3.68,NZ,1702017221
15,aksu,41.1231,80.2644,7.7,28,100,1.73,CN,1702017221
16,edinburgh of the seven seas,-37.0676,-12.3116,15.0,81,100,7.22,SH,1702017222
17,atafu village,-8.5421,-172.5159,29.17,72,97,2.8,TK,1702017222
18,nemuro,43.3236,145.575,3.09,55,4,11.15,JP,1702017223
19,san fernando de apure,7.8878,-67.4724,25.1,81,67,2.59,VE,1702017223
20,georgetown,5.4112,100.3354,32.97,55,20,4.12,MY,1702017177
21,callao,-12.0667,-77.15,20.95,82,40,4.12,PE,1702017224
22,margaret river,-33.95,115.0667,18.72,53,4,8.47,AU,1702017225
23,laguna,38.421,-121.4238,8.51,93,100,2.06,US,1702017082
24,kavaratti,10.5669,72.642,28.48,69,42,4.92,IN,1702017225
25,dryden,49.7833,-92.7503,2.16,75,75,4.12,CA,1702017226
26,viedma,-40.8135,-62.9967,11.65,80,0,3.42,AR,1702017226
27,beyneu,45.3167,55.2,-0.56,46,24,6.43,KZ,1702017227
28,invercargill,-46.4,168.35,16.16,61,100,3.54,NZ,1702017132
29,rongelap,11.1635,166.8941,27.39,77,8,9.03,MH,1702017228
30,aasiaat,68.7098,-52.8699,-10.37,91,100,1.85,GL,1702017228
31,bilibino,68.0546,166.4372,-36.5,99,38,1.08,RU,1702017229
32,tura,25.5198,90.2201,21.98,69,92,1.28,IN,1702017229
33,bogale,16.2833,95.4,31.75,55,88,1.45,MM,1702017230
34,wailua homesteads,22.0669,-159.378,22.44,88,75,2.57,US,1702017230
35,afaahiti,-17.75,-149.2833,24.93,83,100,9.31,PF,1702017231
36,ribeira grande,38.5167,-28.7,19.87,93,100,10.28,PT,1702017231
37,thompson,55.7435,-97.8558,-7.91,93,75,1.54,CA,1702017232
38,ulladulla,-35.35,150.4667,25.67,69,100,3.91,AU,1702017232
39,bethel,41.3712,-73.414,1.2,91,100,0.0,US,1702017233
40,grytviken,-54.2811,-36.5092,-1.42,86,68,4.1,GS,1702017233
41,bengkulu,-3.8004,102.2655,27.71,78,100,4.91,ID,1702017234
42,lihue,21.9789,-159.3672,22.77,83,75,2.57,US,1702017234
43,saldanha,-33.0117,17.9442,21.03,80,4,4.18,ZA,1702017235
44,enewetak,11.3474,162.3373,27.68,82,11,9.15,MH,1702017235
45,yellowknife,62.456,-114.3525,-10.71,92,100,2.06,CA,1702017052
46,san jose de jachal,-30.2406,-68.7469,19.88,46,1,1.81,AR,1702017236
47,bridgeport,41.167,-73.2048,2.42,84,0,0.45,US,1702016946
48,utrik,11.2278,169.8474,27.58,73,72,9.62,MH,1702017237
49,daru,-9.0763,143.2092,28.53,66,69,4.25,PG,1702017238
50,oued el abtal,35.456,0.6878,13.97,86,41,2.76,DZ,1702017238
51,tabou,4.423,-7.3528,26.15,82,66,2.45,CI,1702017239
52,acapulco de juarez,16.8634,-99.8901,26.9,89,20,2.06,MX,1702017239
53,mata-utu,-13.2816,-176.1745,28.22,81,45,6.45,WF,1702017240
54,blackmans bay,-43.0167,147.3167,19.07,90,100,5.58,AU,1702017240
55,albany,42.6001,-73.9662,0.2,89,90,0.16,US,1702017043
56,ushuaia,-54.8,-68.3,4.81,93,0,3.6,AR,1702017241
57,ciudad lazaro cardenas,17.9583,-102.2,24.69,79,0,1.55,MX,1702017242
58,papatowai,-46.5619,169.4708,16.05,63,100,2.27,NZ,1702017242
59,yoshino-cho,34.3961,135.8577,14.93,53,0,0.88,JP,1702017243
60,wangkui,46.8333,126.5,-7.34,88,100,6.73,CN,1702017243
61,mahina,-17.5065,-149.489,25.87,83,75,5.66,PF,1702017244
62,bubaque,11.2833,-15.8333,27.37,67,1,2.25,GW,1702017245
63,cole harbour,44.6724,-63.4751,-4.29,87,7,4.02,CA,1702017245
64,crane,31.3974,-102.3501,14.21,65,73,3.98,US,1702017246
65,dudinka,69.4058,86.1778,-35.18,99,9,1.79,RU,1702017247
66,happy valley-goose bay,53.3168,-60.3315,-1.83,64,100,10.29,CA,1702017247
67,whitehorse,60.7161,-135.0538,-5.57,86,75,7.2,CA,1702017248
68,isafjordur,66.0755,-23.124,-3.25,79,30,3.51,IS,1702017249
69,katutura,-22.521,17.0557,26.62,20,0,4.63,NA,1702017249
70,bredasdorp,-34.5322,20.0403,22.63,52,72,3.39,ZA,1702017250
71,thunder bay,48.4001,-89.3168,3.99,87,100,6.69,CA,1702016960
72,carnarvon,-24.8667,113.6333,25.07,55,0,10.11,AU,1702017251
73,granbury,32.4421,-97.7942,16.73,84,0,5.66,US,1702017001
74,arraial do cabo,-22.9661,-42.0278,24.36,92,92,10.62,BR,1702017253
75,baise city,23.8997,106.6133,26.71,46,39,1.83,CN,1702017253
76,araguari,-18.6472,-48.1872,23.16,52,9,1.19,BR,1702017254
77,luanda,-8.8368,13.2343,27.0,87,75,0.0,AO,1702017195
78,levuka,50.1834,-105.4011,0.9,97,100,8.17,CA,1702017255
79,andovoranto,-18.95,49.1,27.95,59,92,2.51,MG,1702017255
80,port mathurin,-19.6833,63.4167,26.16,72,1,3.37,MU,1702017256
81,sarakhs,36.5449,61.1577,13.1,42,3,2.46,IR,1702017256
82,beni saf,35.301,-1.3823,19.16,83,4,9.82,DZ,1702017257
83,chibougamau,49.9168,-74.3659,-24.21,77,100,0.0,CA,1702017195
84,saham,24.1722,56.8886,26.01,40,0,1.64,OM,1702017258
85,kerikeri,-35.2268,173.9474,19.95,65,4,1.34,NZ,1702017259
86,naranjo,10.0987,-84.3782,20.4,90,41,1.96,CR,1702017259
87,aginskoye,51.1,114.53,-19.36,72,38,9.56,RU,1702017260
88,longyearbyen,78.2186,15.6401,-0.09,64,40,7.72,SJ,1702017260
89,badger,64.8,-147.5333,-17.58,78,40,0.0,US,1702017261
90,mao,39.8885,4.2658,14.31,100,40,6.69,ES,1702017261
91,yeosu,34.7546,127.6599,15.62,74,0,5.06,KR,1702017262
92,gedo,9.0167,37.45,16.7,53,69,0.79,ET,1702017263
93,bamboo flat,11.7,92.7167,30.05,79,40,4.12,IN,1702017263
94,holualoa,19.6228,-155.9522,23.91,79,75,4.63,US,1702017048
95,bandarbeyla,9.4942,50.8122,27.44,49,45,9.4,SO,1702017264
96,punta arenas,-53.15,-70.9167,5.06,93,0,2.06,CL,1702017049
97,ilhabela,-23.7781,-45.3581,24.71,91,100,1.8,BR,1702017265
98,nagqu,31.5,92.0,-1.56,39,100,5.39,CN,1702017266
99,irece,-11.3042,-41.8558,19.87,88,100,3.97,BR,1702017266
100,aykhal,66.0,111.5,-26.71,98,100,2.55,RU,1702017203
101,magadan,59.5667,150.8,-6.37,80,100,7.5,RU,1702017268
102,alofi,-19.0595,-169.9187,26.94,83,75,2.57,NU,1702017269
103,saint-philippe,-21.3585,55.7679,27.77,81,83,4.22,RE,1702017269
104,hawaiian paradise park,19.5933,-154.9731,22.24,92,75,3.09,US,1702017270
105,ilulissat,69.2167,-51.1,-4.99,63,100,0.0,GL,1702017270
106,mormugao,15.4,73.8,30.59,51,97,3.6,IN,1702017271
107,college,64.8569,-147.8028,-17.53,76,40,0.0,US,1702017271
108,grand-lahou,5.1367,-5.0242,26.16,84,98,2.39,CI,1702017272
109,talnakh,69.4865,88.3972,-33.55,83,3,1.85,RU,1702017272
110,iqaluit,63.7506,-68.5145,-16.15,71,0,4.12,CA,1702017273
111,jolo,6.05,121.0167,28.78,78,96,1.78,PH,1702017274
112,laguna larga,-31.7765,-63.801,18.0,70,0,2.42,AR,1702017275
113,berdigestyakh,62.0989,126.6992,-35.21,95,98,3.12,RU,1702017275
114,tolanaro,-25.0319,46.9987,28.04,65,40,8.23,MG,1702017276
115,strijen,51.7452,4.5508,3.9,90,100,1.79,NL,1702017276
116,mount pearl,47.5166,-52.7813,-3.25,83,40,16.98,CA,1702017036
117,la ronge,55.1001,-105.2842,-8.86,92,0,1.54,CA,1702017277
118,terrace,54.5163,-128.6035,0.12,93,100,1.54,CA,1702017278
119,lompoc,34.6391,-120.4579,12.66,86,0,7.2,US,1702017278
120,shalya,57.2471,58.7298,-25.01,80,2,1.13,RU,1702017279
121,punta del este,-34.9667,-54.95,16.04,82,0,3.13,UY,1702017279
122,qaqortoq,60.7167,-46.0333,3.69,52,100,9.26,GL,1702017280
123,gafargaon,24.4333,90.5667,24.59,69,80,1.99,BD,1702017280
124,portland,45.5234,-122.6762,6.54,93,65,3.13,US,1702017089
125,hammerfest,70.6634,23.6821,-5.75,68,0,6.17,NO,1702017282
126,la passe,45.5549,-0.8967,11.1,86,42,6.19,FR,1702017282
127,remire-montjoly,4.9167,-52.2667,25.02,100,100,0.51,GF,1702017283
128,capitan bado,-23.2667,-55.5333,20.88,98,100,2.37,PY,1702017283
129,olonkinbyen,70.9221,-8.7187,-3.63,74,90,3.51,SJ,1702017284
130,vila velha,-20.3297,-40.2925,24.97,84,0,4.12,BR,1702017284
131,sydney mines,46.2367,-60.2177,-0.56,83,40,8.23,CA,1702017285
132,hegang,47.4,130.3667,-9.45,95,100,1.93,CN,1702017286
133,kamyzyak,46.11,48.0736,-3.01,86,0,7.0,RU,1702017286
134,arteche,12.2645,125.4048,28.13,79,83,3.45,PH,1702017287
135,kananga,-5.8958,22.4178,23.14,87,92,0.52,CD,1702017287
136,vila do maio,15.1333,-23.2167,23.44,67,0,6.47,CV,1702017287
137,puerto baquerizo moreno,-0.9,-89.6,23.58,88,46,4.46,EC,1702017011
138,vorgashor,67.5833,63.95,-24.55,99,100,1.63,RU,1702017288
139,roccella ionica,38.322,16.4009,11.95,62,11,1.7,IT,1702017289
140,puerto san jose,13.9256,-90.8244,24.3,80,5,2.16,GT,1702017241
141,mbandaka,0.0487,18.2603,23.9,87,81,1.56,CD,1702017290
142,ancud,-41.8697,-73.8203,8.85,90,1,1.48,CL,1702017290
143,bloomfield,40.8068,-74.1854,4.92,78,100,3.6,US,1702017233
144,kiunga,-6.1219,141.2906,29.47,77,50,0.92,PG,1702017291
145,kimbe,-5.5502,150.1429,28.04,83,52,1.51,PG,1702017292
146,sumbe,-11.2061,13.8437,26.11,84,100,0.71,AO,1702017292
147,kendari,-3.945,122.4989,29.66,78,15,1.26,ID,1702017292
148,isla aguada,18.7833,-91.4667,23.65,76,100,3.7,MX,1702017293
149,fale old settlement,-9.3852,-171.2468,28.87,74,100,5.05,TK,1702017293
150,zalesovo,53.9939,84.7431,-28.02,92,99,1.86,RU,1702017294
151,kodiak,57.79,-152.4072,-3.27,36,0,6.69,US,1702017294
152,grande prairie,55.1667,-118.8027,-10.9,85,75,1.54,CA,1702017295
153,tiksi,71.6872,128.8694,-31.33,100,100,0.82,RU,1702017295
154,port macquarie,-31.4333,152.9167,27.72,71,0,6.03,AU,1702017202
155,kazanskoye,55.6448,69.235,-29.5,90,6,1.99,RU,1702017296
156,nuuk,64.1835,-51.7216,3.34,48,91,7.2,GL,1702017297
157,macheng,31.1783,115.0319,22.55,23,60,4.75,CN,1702017297
158,dongyang,29.2678,120.2253,21.47,33,28,2.46,CN,1702017297
159,jamaame,0.0697,42.745,31.53,53,5,3.66,SO,1702017298
160,christchurch,-43.5333,172.6333,18.63,66,100,7.72,NZ,1702017009
161,san carlos de bariloche,-41.1456,-71.3082,10.86,66,0,3.6,AR,1702017242
162,banfora,10.6333,-4.7667,22.29,22,34,2.31,BF,1702017299
163,ust'-charyshskaya pristan',52.3934,83.6635,-20.45,78,96,3.32,RU,1702017300
164,kulhudhuffushi,6.6221,73.07,27.97,80,100,9.66,MV,1702017300
165,zeya,53.75,127.2667,-21.4,84,100,0.93,RU,1702017301
166,mount gambier,-37.8333,140.7667,16.51,78,100,4.83,AU,1702017301
167,al'met'yevsk,54.9044,52.3154,-28.84,96,17,1.47,RU,1702017302
168,chishmy,54.5765,55.3764,-29.0,96,45,0.36,RU,1702017303
169,merizo village,13.2658,144.6691,29.43,81,100,7.23,GU,1702017306
170,labrador city,52.9463,-66.9114,-10.05,79,75,5.14,CA,1702017308
